Player,Eligible,Status,Fantasy Points,Average Fantasy Points per Game,p_formatted_ip,p_save,p_hold,IP_per_Game,p_era,pitching_score,command_score,whiff_percent,bb_percent,meatball_percent,pitching_score_7d,command_score_7d,whiff_percent_7d,bb_percent_7d,meatball_percent_7d,p_game_7d,p_save_7d,p_hold_7d,IP_per_Game_7d,pitching_score_14d,command_score_14d,whiff_percent_14d,bb_percent_14d,meatball_percent_14d,p_game_14d,p_save_14d,p_hold_14d,IP_per_Game_14d,pitching_score_30d,command_score_30d,whiff_percent_30d,bb_percent_30d,meatball_percent_30d,p_game_30d,p_save_30d,p_hold_30d,IP_per_Game_30d,pitching_score_2025,command_score_2025,whiff_percent_2025,bb_percent_2025,meatball_percent_2025
Dylan Cease,SP,ACTIVE,996.75,45.31,131.1,0.0,0.0,6.0,2.4,1.51,0.2,34.9,10.6,6.4,0.23,-0.5,31.25,16.67,6.73,1.0,0.0,0.0,5.0,0.8,0.53,27.17,10.42,4.33,3.0,0.0,0.0,6.0,0.87,0.4,27.94,8.57,5.59,5.0,0.0,0.0,6.6,1.48,0.52,33.4,9.8,6.6
Ryan Weathers,SP,ACTIVE,735.75,31.99,126.2,0.0,0.0,5.5,3.69,1.22,1.28,27.3,7.0,6.0,-0.12,0.11,19.05,13.64,4.72,1.0,0.0,0.0,5.67,0.11,0.23,21.05,9.3,6.19,2.0,0.0,0.0,5.83,0.89,0.57,26.7,8.62,4.84,5.0,0.0,0.0,5.8,0.21,-0.35,28.8,7.2,9.3
Paul Skenes,SP,ACTIVE,878.25,35.13,134.2,0.0,0.0,5.4,3.88,1.3,1.17,28.4,6.7,6.3,-0.27,0.55,11.76,4.76,6.15,1.0,0.0,0.0,5.0,0.04,-0.23,24.32,12.2,6.96,3.0,0.0,0.0,4.67,0.66,-0.09,29.73,9.78,7.16,5.0,0.0,0.0,5.27,1.52,1.22,30.1,5.7,7.1
Brady Singer,SP,ACTIVE,582.25,25.32,119.2,0.0,0.0,5.2,4.66,0.85,1.1,25.5,7.5,6.1,0.28,0.87,16.98,3.7,4.85,1.0,0.0,0.0,6.0,0.22,0.23,22.45,7.84,6.83,2.0,0.0,0.0,6.0,0.71,0.43,25.83,7.03,6.18,5.0,0.0,0.0,6.0,0.13,0.47,24.0,8.4,7.3
Ranger Suarez,SP,ACTIVE,626.0,29.81,108.0,0.0,0.0,5.1,3.25,0.65,1.28,23.2,7.0,6.0,0.16,0.77,16.22,4.76,4.94,1.0,0.0,0.0,5.0,0.04,0.82,14.71,8.33,3.95,3.0,0.0,0.0,4.22,0.09,0.81,15.62,5.88,5.09,4.0,0.0,0.0,4.17,0.76,1.7,22.2,5.8,6.2
Tyler Phillips,RP,ACTIVE,436.75,15.06,93.1,2.0,0.0,3.2,3.47,-0.21,-0.41,25.7,9.7,7.8,0.82,0.71,27.27,5.56,4.92,1.0,0.0,0.0,4.0,0.56,0.69,22.58,2.56,7.14,2.0,0.0,0.0,4.5,0.71,0.44,25.78,5.13,7.04,4.0,0.0,0.0,4.58,0.59,0.47,27.3,7.7,7.6
Tyler Wells,SP,ACTIVE,444.0,9.65,58.1,4.0,12.0,1.3,2.47,1.11,0.38,31.1,6.6,7.7,1.36,1.03,32.14,8.33,1.92,2.0,0.0,0.0,1.5,1.9,1.04,36.59,11.76,1.41,4.0,1.0,1.0,1.33,1.49,0.91,30.61,11.11,2.23,11.0,2.0,1.0,1.24,-0.32,-0.03,23.4,2.4,10.8
Aroldis Chapman,RP,ACTIVE,563.75,13.75,39.2,27.0,0.0,1.0,2.04,0.57,0.12,28.6,10.7,6.5,,,9.09,16.67,4.35,1.0,0.0,0.0,1.0,0.41,0.91,18.75,7.69,3.85,3.0,1.0,0.0,1.0,0.2,0.11,22.86,9.52,6.4,11.0,8.0,0.0,1.0,1.77,0.46,35.8,6.6,8.1
Raisel Iglesias,RP,ACTIVE,519.25,11.8,44.2,24.0,0.0,1.0,3.02,1.25,0.73,30.3,7.1,6.9,0.74,0.73,25.71,10.53,2.63,4.0,0.0,0.0,0.92,0.44,0.42,23.53,13.33,3.51,6.0,1.0,0.0,0.94,0.47,0.22,25.0,11.11,5.21,13.0,5.0,0.0,0.95,1.08,0.45,30.9,6.4,8.2
Abner Uribe,RP,ACTIVE,455.5,9.3,48.1,6.0,18.0,1.0,2.05,0.57,0.54,26.4,9.4,6.3,-1.44,-1.0,10.53,30.0,3.64,2.0,0.0,0.0,1.0,0.28,0.18,23.68,14.29,4.17,6.0,0.0,3.0,0.94,-0.56,-0.32,17.86,9.09,8.45,10.0,0.0,5.0,0.97,0.65,-0.36,32.0,9.1,8.5
Emilio Pagan,RP,ACTIVE,322.25,11.51,26.1,14.0,0.0,0.9,4.1,1.15,0.86,28.9,7.3,6.6,,,7.69,0.0,0.0,1.0,1.0,0.0,1.0,,,21.43,0.0,2.38,4.0,3.0,0.0,1.0,0.93,0.62,26.74,0.0,8.63,10.0,7.0,0.0,1.0,0.79,0.38,29.2,8.1,7.6
Garrett Crochet,SP,INJURED_RESERVE,190.0,31.67,30.0,0.0,0.0,5.0,6.3,0.26,0.57,24.0,8.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.4,29.4,5.7,8.6
Mick Abel,SP,INJURED_RESERVE,124.0,31.0,20.1,0.0,0.0,5.0,3.98,0.5,-0.02,28.8,10.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,-0.44,25.4,9.2,8.6
Jason Adam,RP,INJURED_RESERVE,273.5,7.6,32.1,2.0,17.0,0.9,2.51,0.74,0.34,28.6,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,-0.52,33.3,9.3,8.7
Justin Steele,SP,INJURED_RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,2.01,18.5,5.4,5.8
Spencer Schwellenbach,SP,INJURED_RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.0,28.3,4.1,10.0
Hagen Smith,SP,MINORS,39.75,19.88,,,,,,,,,,,0.05,-1.09,34.78,35.71,1.59,2.0,0.0,1.0,1.5,0.04,-1.38,34.78,35.71,1.59,2.0,0.0,1.0,1.5,,,34.78,35.71,1.59,2.0,0.0,1.0,1.5,,,,,
Cam Caminiti,SP,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramon Marquez,SP,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas White,SP,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Franklin,SP,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolan Perry,SP,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
