snapshot_date,Player,Player_standard,hitter_score,batters_eye_score,barrel_batted_rate,GP,AB_per_Game,R_per_Game
2026-06-02,James Wood,james wood,2.86,0.65,25.5,61.99376947040498,3.742311557788945,0.85
2026-06-02,Yordan Alvarez,yordan alvarez,1.87,0.26,20.2,60.99476439790576,3.541287553648069,0.66
2026-06-02,CJ Abrams,cj abrams,0.18,-0.41,11.2,61.01511879049677,3.572884955752212,0.62
2026-06-02,Miguel Vargas,miguel vargas,1.95,1.38,15.3,59.97842502696872,3.5346043165467624,0.73
2026-06-02,Ben Rice,ben rice,2.12,1.12,17.8,55.01489572989076,3.5626714801444046,0.82
2026-06-02,Oneil Cruz,oneil cruz,0.52,-1.05,16.9,58.97435897435898,3.984782608695652,0.73
2026-06-02,Matt Olson,matt olson,1.32,0.41,15.5,61.01223581757508,3.835296262534184,0.7
2026-06-02,Andy Pages,andy pages,-0.07,-0.61,10.4,60.98104793756967,3.689670932358319,0.59
2026-06-02,Nick Kurtz,nick kurtz,1.74,0.45,18.3,58.98692810457516,3.526204986149585,0.68
2026-06-02,Jose Ramirez,jose ramirez,0.3,0.56,7.3,62.03488372093023,3.61087160262418,0.53
2026-06-02,Jordan Walker,jordan walker,0.68,-0.36,14.6,58.0225988700565,3.7571567672833495,0.67
2026-06-02,Cody Bellinger,cody bellinger,0.28,0.42,7.9,58.97583429228999,3.560780487804878,0.63
2026-06-02,Mike Trout,mike trout,1.98,0.25,21.1,60.99759615384615,3.4591527093596057,0.74
2026-06-02,Aaron Judge,aaron judge,2.17,0.41,21.7,59.01639344262296,3.626111111111111,0.73
2026-06-02,Brice Turang,brice turang,0.68,0.88,8.5,55.02732240437158,3.5618669314796425,0.84
2026-06-02,Bobby Witt Jr.,bobby witt,0.5,-0.46,13.8,60.99635479951397,3.8854780876494015,0.49
2026-06-02,Sal Stewart,sal stewart,1.35,0.55,15.0,60.01199040767386,3.699260739260739,0.57
2026-06-02,Shohei Ohtani,shohei ohtani,1.23,0.15,16.1,59.98796630565583,3.5173721163490472,0.65
2026-06-02,Munetaka Murakami,munetaka murakami,2.43,0.99,20.7,57.01042873696407,3.508130081300813,0.75
2026-06-02,Elly De La Cruz,elly de la cruz,1.35,0.56,15.0,57.96930342384887,4.002118126272913,0.69
2026-06-02,Bryan Reynolds,bryan reynolds,0.89,1.11,8.9,60.99378881987577,3.442973523421589,0.64
2026-06-02,Kyle Schwarber,kyle schwarber,2.78,0.96,23.4,56.97399527186761,3.7560995850622407,0.63
2026-06-02,Bryce Harper,bryce harper,0.91,0.1,14.0,60.02490660024907,3.4485684647302906,0.6
2026-06-02,Xavier Edwards,xavier edwards,0.3,0.7,6.6,62.03346203346204,3.659315352697096,0.66
2026-06-02,Christian Walker,christian walker,1.02,0.43,13.2,60.99110546378653,3.623479166666667,0.59
2026-06-02,Liam Hicks,liam hicks,-0.25,0.2,5.1,58.96805896805896,3.289916666666667,0.51
2026-06-02,Randy Arozarena,randy arozarena,-0.12,-0.01,7.1,61.9818652849741,3.6139602925809817,0.66
2026-06-02,Yandy Diaz,yandy diaz,0.11,-0.19,9.6,55.017301038062286,3.7806289308176098,0.56
